,Unnamed: 0,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,eFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE,STARTING,MIN_ROLL_REB_2,REB_ROLL_REB_2,REB_STD_AVG_2,OREB_ROLL_REB_2,DREB_ROLL_REB_2,OREB_PCT_ROLL_REB_2,DREB_PCT_ROLL_REB_2,REB_PCT_ROLL_REB_2,USG_PCT_ROLL_REB_2,GAME_PACE_ROLL_REB_2,MIN_ROLL_REB_4,REB_ROLL_REB_4,REB_STD_AVG_4,OREB_ROLL_REB_4,DREB_ROLL_REB_4,OREB_PCT_ROLL_REB_4,DREB_PCT_ROLL_REB_4,REB_PCT_ROLL_REB_4,USG_PCT_ROLL_REB_4,GAME_PACE_ROLL_REB_4,MIN_ROLL_REB_6,REB_ROLL_REB_6,REB_STD_AVG_6,OREB_ROLL_REB_6,DREB_ROLL_REB_6,OREB_PCT_ROLL_REB_6,DREB_PCT_ROLL_REB_6,REB_PCT_ROLL_REB_6,USG_PCT_ROLL_REB_6,GAME_PACE_ROLL_REB_6,PLAYER_HOME_AVG_REB,PLAYER_AWAY_AVG_REB,DAYS_OF_REST,DAYS_AGO,REB_LAG_1,REB_LAG_2,REB_LAG_3,REB_LAG_4,OPP_ROLL_OPP_DEF_RATING_5,OPP_ROLL_OPP_STL_5,OPP_ROLL_OPP_BLK_5,NORMALIZED_DEF_RATING,OPP_DEF_STRENGTH,DEF_CATEGORY,REB_VS_DEF,OREB_PCT_VS_DEF,DREB_PCT_VS_DEF,REB_PCT_VS_DEF,USG_PCT_VS_DEF,GAME_PACE_VS_DEF,GUARD,FORWARD,CENTER
55,55,Furkan Korkmaz,1627788,PHI vs. BKN,PHI,1610612755,BKN,1,42200121,2023-04-15,W,2,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,-3,0.0,0.0,,,,40.0,50.0,100.0,125.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,100.0,0.0,5,83.33,0.0,"APR 15, 2023",240,42,89,0.472,21,43,0.488,16,16,1.0,14,24,38,32,14,3,8,17,121,134.38471790315413,3.0,5.0,35.0,0.5571428571428572,1610612751.0,134.38471790315413,90.04,90.32,90.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,799,,,,,134.38,3.0,5.0,-2.1336363227283517,-0.2149477251555787,0,,,,,,0.0,1,1,0
67,67,David Duke Jr.,1630561,BKN @ PHI,BKN,1610612751,PHI,0,42200121,2023-04-15,L,5,2,0,0,1,3,0.333,0,1,0.0,0,0,,0,0,0,0,1,1,-4,1.0,0.667,0.3333333333333333,,,77.8,78.8,110.0,123.9,-32.2,0.0,0.0,0.0,0.0,0.333,0.0,0.364,0.333,90.37,96.68,-0.154,9,80.57,0.368,"APR 15, 2023",240,39,70,0.557,13,29,0.448,10,15,0.667,5,30,35,23,3,5,19,15,101,111.47902869757176,14.0,3.0,38.0,0.4719101123595505,1610612755.0,111.47902869757176,90.6,90.32,90.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,799,,,,,111.48,14.0,3.0,-0.048565347207757376,0.8726375535851904,1,,,,,0.011,0.0,1,0,0
75,75,Sam Hauser,1630573,BOS vs. ATL,BOS,1610612738,ATL,1,42200111,2023-04-15,W,11,0,0,1,0,2,0.0,0,2,0.0,0,0,,0,1,0,0,0,2,6,1.2,0.0,0.0,,,122.7,125.5,87.5,97.0,35.2,0.0,0.071,0.043,0.0,0.0,0.0,0.083,0.0,94.04,100.23,-0.074,22,83.52,0.085,"APR 15, 2023",240,42,88,0.477,13,33,0.394,15,18,0.833,12,46,58,25,6,7,16,15,112,112.0896717373899,13.0,4.0,45.0,0.3877551020408163,1610612737.0,112.0896717373899,99.92,102.3,104.68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,799,,,,,112.09,13.0,4.0,-0.10410653913210505,0.8758596668767512,1,-0.5,-1.0,-0.408,-0.609,-0.585,0.054,0,1,0
60,60,Shake Milton,1629003,PHI vs. BKN,PHI,1610612755,BKN,1,42200121,2023-04-15,W,3,2,0,0,1,1,1.0,0,0,,0,0,,0,0,1,0,0,0,-3,5.0,2.0,1.0,,,66.7,80.0,116.7,119.0,-50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.167,1.0,80.34,88.62,0.429,6,73.85,0.2,"APR 15, 2023",240,42,89,0.472,21,43,0.488,16,16,1.0,14,24,38,32,14,3,8,17,121,134.38471790315413,3.0,5.0,35.0,0.5571428571428572,1610612751.0,134.38471790315413,90.04,90.32,90.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,799,,,,,134.38,3.0,5.0,-2.1336363227283517,-0.2149477251555787,0,-1.0,,-1.0,-1.0,-0.274,-0.03,1,0,0
11,11,Dean Wade,1629731,CLE vs. NYK,CLE,1610612739,NYK,1,42200131,2023-04-15,L,7,2,0,1,0,1,0.0,0,1,0.0,2,2,1.0,0,1,0,0,0,0,-14,3.2,1.064,0.0,,,41.2,41.8,110.5,112.7,-69.3,0.0,0.143,0.063,0.0,0.0,0.0,0.118,0.532,114.04,115.97,0.105,17,96.64,0.119,"APR 15, 2023",240,36,83,0.434,10,31,0.323,15,21,0.714,11,27,38,20,9,2,14,17,97,101.8479630407392,11.0,1.0,51.0,0.4204545454545454,1610612752.0,101.8479630407392,95.24,94.46,93.68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,799,,,,,101.85,11.0,1.0,0.8282570761225199,0.8791992801070824,1,-0.333,,-0.285,-0.475,0.967,0.001,0,1,1
35,35,Julius Randle,203944,NYK @ CLE,NYK,1610612752,CLE,0,42200131,2023-04-15,W,34,19,4,10,7,20,0.35,3,10,0.3,2,4,0.5,2,8,2,0,5,4,-8,38.0,0.873,0.425,F,,91.0,90.7,101.5,105.0,-10.4,0.051,0.229,0.135,0.25,0.425,0.8,0.325,0.437,95.13,96.56,0.099,67,80.47,0.341,"APR 15, 2023",240,37,88,0.42,8,29,0.276,19,22,0.864,17,34,51,18,11,1,13,20,101,107.81383432963278,9.0,2.0,38.0,0.4337349397590361,1610612739.0,107.81383432963278,93.68,94.46,95.24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,799,,,,,107.81,9.0,2.0,0.28559231568135124,0.6715987252152669,1,0.0,-0.15,0.041,-0.036,0.161,-0.005,0,1,1
31,31,De'Anthony Melton,1629001,PHI vs. BKN,PHI,1610612755,BKN,1,42200121,2023-04-15,W,22,6,5,3,2,9,0.222,2,7,0.286,0,0,,1,2,1,0,0,1,15,20.1,0.667,0.3333333333333333,,,134.9,134.3,100.0,99.5,34.9,0.05,0.143,0.088,0.263,0.333,0.0,0.184,0.333,93.11,92.68,0.062,43,77.23,0.187,"APR 15, 2023",240,42,89,0.472,21,43,0.488,16,16,1.0,14,24,38,32,14,3,8,17,121,134.38471790315413,3.0,5.0,35.0,0.5571428571428572,1610612751.0,134.38471790315413,90.04,90.32,90.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,799,,,,,134.38,3.0,5.0,-2.1336363227283517,-0.2149477251555787,0,0.25,-0.286,2.575,0.76,0.15,-0.013,1,0,0
16,16,Andrew Wiggins,203952,GSW @ SAC,GSW,1610612744,SAC,0,42200161,2023-04-15,L,28,17,1,3,7,16,0.438,1,8,0.125,2,4,0.5,2,1,0,4,0,3,-5,34.1,0.957,0.46875,,,107.8,107.5,117.5,114.2,-9.6,0.063,0.029,0.045,0.056,0.469,0.0,0.25,0.479,109.75,108.09,0.068,64,90.07,0.26,"APR 15, 2023",240,43,90,0.478,16,50,0.32,21,27,0.778,9,32,41,31,7,7,15,25,123,114.01557285873194,10.0,3.0,50.0,0.4489795918367347,1610612758.0,114.01557285873194,107.88,107.98,108.08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,799,,,,,114.02,10.0,3.0,-0.2798352283353685,0.6017550118315758,0,-0.5,0.575,-0.736,-0.357,0.19,0.029,0,1,0
53,53,Joel Embiid,203954,PHI vs. BKN,PHI,1610612755,BKN,1,42200121,2023-04-15,W,33,26,3,5,7,15,0.467,1,4,0.25,11,11,1.0,2,3,1,2,2,3,18,43.5,1.31,0.5,C,,135.5,134.2,108.2,107.3,27.3,0.057,0.115,0.082,0.15,0.5,1.5,0.293,0.655,90.18,89.36,0.145,62,74.47,0.299,"APR 15, 2023",240,42,89,0.472,21,43,0.488,16,16,1.0,14,24,38,32,14,3,8,17,121,134.38471790315413,3.0,5.0,35.0,0.5571428571428572,1610612751.0,134.38471790315413,90.04,90.32,90.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,799,,,,,134.38,3.0,5.0,-2.1336363227283517,-0.2149477251555787,0,-0.512,0.14,-0.477,-0.414,-0.023,-0.013,0,1,1
66,66,Cam Thomas,1630560,BKN @ PHI,BKN,1610612751,PHI,0,42200121,2023-04-15,L,4,0,0,0,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,-4,0.0,0.0,0.0,,,77.8,78.8,110.0,123.9,-32.2,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,95.78,102.47,-0.077,9,85.39,0.092,"APR 15, 2023",240,39,70,0.557,13,29,0.448,10,15,0.667,5,30,35,23,3,5,19,15,101,111.47902869757176,14.0,3.0,38.0,0.4719101123595505,1610612755.0,111.47902869757176,90.6,90.32,90.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,799,,,,,111.48,14.0,3.0,-0.048565347207757376,0.8726375535851904,1,-1.0,,-1.0,-1.0,-0.545,0.003,1,0,0
22,22,Kevin Huerter,1628989,SAC vs. GSW,SAC,1610612758,GSW,1,42200161,2023-04-15,W,31,6,2,5,3,12,0.25,0,5,0.0,0,0,,0,5,0,1,0,2,-2,18.0,0.5,0.25,G,,111.3,106.0,117.4,118.6,-6.1,0.0,0.179,0.072,0.083,0.25,0.0,0.136,0.25,110.7,108.5,0.018,71,90.42,0.14,"APR 15, 2023",240,44,98,0.449,12,32,0.375,26,32,0.813,17,33,50,18,10,3,13,23,126,116.580310880829,7.0,7.0,41.0,0.4777777777777778,1610612744.0,116.580310880829,108.08,107.98,107.88,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,799,,,,,116.58,7.0,7.0,-0.5129261321490247,0.6594495649701666,1,0.155,,0.279,0.029,-0.15,0.017,1,1,0
78,78,Bogdan Bogdanović,203992,ATL @ BOS,ATL,1610612737,BOS,0,42200111,2023-04-15,L,28,9,4,4,3,10,0.3,2,7,0.286,1,1,1.0,1,3,2,2,1,2,3,30.8,0.862,0.4,,,101.8,98.8,94.8,101.1,6.9,0.026,0.115,0.062,0.222,0.4,4.0,0.157,0.431,98.13,99.76,0.094,57,83.13,0.16,"APR 15, 2023",240,38,98,0.388,5,29,0.172,18,22,0.818,14,31,45,23,13,4,11,17,99,94.5739396255254,6.0,7.0,58.0,0.4772727272727273,1610612738.0,94.5739396255254,104.68,102.3,99.92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,799,,,,,94.57,6.0,7.0,1.4911093338426042,1.2790132416229403,1,1.0,1.6,0.917,1.067,-0.019,0.017,1,0,0
21,21,Donte DiVincenzo,1628978,GSW @ SAC,GSW,1610612744,SAC,0,42200161,2023-04-15,L,20,10,4,3,3,5,0.6,2,4,0.5,2,2,1.0,1,2,0,0,1,3,2,18.6,1.701,0.8,F,,122.7,123.5,123.8,120.1,-1.1,0.059,0.091,0.077,0.267,0.8,4.0,0.14,0.85,105.45,104.24,0.114,44,86.87,0.147,"APR 15, 2023",240,43,90,0.478,16,50,0.32,21,27,0.778,9,32,41,31,7,7,15,25,123,114.01557285873194,10.0,3.0,50.0,0.4489795918367347,1610612758.0,114.01557285873194,107.88,107.98,108.08,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,799,,,,,114.02,10.0,3.0,-0.2798352283353685,0.6017550118315758,0,0.382,0.967,0.011,0.283,0.273,0.031,1,0,0
12,12,Obi Toppin,1630167,NYK @ CLE,NYK,1610612752,CLE,0,42200131,2023-04-15,W,14,9,1,4,3,4,0.75,1,2,0.5,2,2,1.0,1,3,0,0,1,0,12,14.3,1.844,0.875,,,133.3,136.1,93.3,94.9,40.0,0.077,0.2,0.143,0.091,0.875,1.0,0.167,0.922,97.88,99.68,0.2,30,83.06,0.174,"APR 15, 2023",240,37,88,0.42,8,29,0.276,19,22,0.864,17,34,51,18,11,1,13,20,101,107.81383432963278,9.0,2.0,38.0,0.4337349397590361,1610612739.0,107.81383432963278,93.68,94.46,95.24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,799,,,,,107.81,9.0,2.0,0.28559231568135124,0.6715987252152669,1,0.12,0.283,0.333,0.3,-0.241,-0.012,0,1,0
9,9,Jalen Brunson,1628973,NYK @ CLE,NYK,1610612752,CLE,0,42200131,2023-04-15,W,29,27,2,2,11,24,0.458,1,4,0.25,4,4,1.0,1,1,2,0,1,3,2,37.4,1.048,0.4791666666666667,G,,123.2,120.7,117.5,116.1,5.7,0.033,0.04,0.036,0.143,0.479,2.0,0.397,0.524,93.48,91.95,0.126,56,76.63,0.408,"APR 15, 2023",240,37,88,0.42,8,29,0.276,19,22,0.864,17,34,51,18,11,1,13,20,101,107.81383432963278,9.0,2.0,38.0,0.4337349397590361,1610612739.0,107.81383432963278,93.68,94.46,95.24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,799,,,,,107.81,9.0,2.0,0.28559231568135124,0.6715987252152669,1,-0.543,0.65,-0.6,-0.4,0.369,-0.003,1,0,0
40,40,RJ Barrett,1629628,NYK @ CLE,NYK,1610612752,CLE,0,42200131,2023-04-15,W,31,7,6,4,2,12,0.167,1,5,0.2,2,2,1.0,0,4,4,0,1,1,-13,31.8,0.543,0.2083333333333333,F,,95.0,90.4,118.6,116.7,-23.6,0.0,0.143,0.061,0.333,0.208,6.0,0.189,0.272,95.02,91.93,0.085,60,76.61,0.192,"APR 15, 2023",240,37,88,0.42,8,29,0.276,19,22,0.864,17,34,51,18,11,1,13,20,101,107.81383432963278,9.0,2.0,38.0,0.4337349397590361,1610612739.0,107.81383432963278,93.68,94.46,95.24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,799,,,,,107.81,9.0,2.0,0.28559231568135124,0.6715987252152669,1,-0.151,-1.0,0.1,-0.129,-0.244,-0.006,1,1,0
68,68,P.J. Tucker,200782,PHI vs. BKN,PHI,1610612755,BKN,1,42200121,2023-04-15,W,25,6,2,7,2,6,0.333,2,5,0.4,0,0,,5,2,5,0,0,0,11,32.4,1.0,0.5,F,,145.7,140.4,119.1,120.7,26.5,0.179,0.111,0.152,0.105,0.5,0.0,0.103,0.5,90.37,89.29,0.12,46,74.41,0.104,"APR 15, 2023",240,42,89,0.472,21,43,0.488,16,16,1.0,14,24,38,32,14,3,8,17,121,134.38471790315413,3.0,5.0,35.0,0.5571428571428572,1610612751.0,134.38471790315413,90.04,90.32,90.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,799,,,,,134.38,3.0,5.0,-2.1336363227283517,-0.2149477251555787,0,0.129,1.237,-0.26,0.267,0.471,-0.021,0,1,0
52,52,Tobias Harris,202699,PHI vs. BKN,PHI,1610612755,BKN,1,42200121,2023-04-15,W,29,21,4,4,9,14,0.643,3,3,1.0,0,0,,2,2,0,1,1,1,12,33.8,1.5,0.75,F,,140.0,135.8,116.1,119.5,23.9,0.063,0.105,0.078,0.25,0.75,4.0,0.224,0.75,92.92,92.82,0.158,55,77.35,0.225,"APR 15, 2023",240,42,89,0.472,21,43,0.488,16,16,1.0,14,24,38,32,14,3,8,17,121,134.38471790315413,3.0,5.0,35.0,0.5571428571428572,1610612751.0,134.38471790315413,90.04,90.32,90.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,799,,,,,134.38,3.0,5.0,-2.1336363227283517,-0.2149477251555787,0,-0.487,0.05,-0.447,-0.35,0.179,-0.014,0,1,0
43,43,Evan Mobley,1630596,CLE vs. NYK,CLE,1610612739,NYK,1,42200131,2023-04-15,L,38,8,2,11,4,13,0.308,0,0,,0,0,,5,6,1,0,2,1,9,25.2,0.615,0.3076923076923077,F,,108.0,107.3,94.7,95.8,13.3,0.128,0.14,0.134,0.074,0.308,1.0,0.174,0.308,95.89,96.11,0.06,75,80.1,0.178,"APR 15, 2023",240,36,83,0.434,10,31,0.323,15,21,0.714,11,27,38,20,9,2,14,17,97,101.8479630407392,11.0,1.0,51.0,0.4204545454545454,1610612752.0,101.8479630407392,95.24,94.46,93.68,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,799,,,,,101.85,11.0,1.0,0.8282570761225199,0.8791992801070824,1,0.1,0.6,-0.176,0.031,0.087,0.019,0,0,1
